Year,Month,Air,GDP,ServiceIndustry,Population,MigrantWorker,Tourist
2005,1,900,13484.43333,0.479807581,130064,7.37,103000
2005,2,1000,13484.43333,0.479807581,130121.6667,7.384166667,104516.6667
2005,3,1000,13484.43333,0.479807581,130179.3333,7.398333333,106033.3333
2005,4,1100,14931.03333,0.42258071,130237,7.4125,107550
2005,5,1100,14931.03333,0.42258071,130294.6667,7.426666667,109066.6667
2005,6,1100,14931.03333,0.42258071,130352.3333,7.440833333,110583.3333
2005,7,1300,16015.93333,0.390142733,130410,7.455,112100
2005,8,1300,16015.93333,0.390142733,130467.6667,7.469166667,113616.6667
2005,9,1200,16015.93333,0.390142733,130525.3333,7.483333333,115133.3333
2005,10,1300,18008.26667,0.376564096,130583,7.4975,116650
2005,11,1200,18008.26667,0.376564096,130640.6667,7.511666667,118166.6667
2005,12,1100,18008.26667,0.376564096,130756,7.54,121200
2006,1,1100,15692.96667,0.481052021,130813.6667,7.554166667,122716.6667
2006,2,1100,15692.96667,0.481052021,130871.3333,7.568333333,124233.3333
2006,3,1300,15692.96667,0.481052021,130929,7.5825,125750
2006,4,1400,17557.76667,0.424273778,130986.6667,7.596666667,127266.6667
2006,5,1300,17557.76667,0.424273778,131044.3333,7.610833333,128783.3333
2006,6,1200,17557.76667,0.424273778,131102,7.625,130300
2006,7,1500,18688.23333,0.395789151,131159.6667,7.639166667,131816.6667
2006,8,1600,18688.23333,0.395789151,131217.3333,7.653333333,133333.3333
2006,9,1400,18688.23333,0.395789151,131275,7.6675,134850
2006,10,1500,21207.2,0.386260327,131332.6667,7.681666667,136366.6667
2006,11,1322,21207.2,0.386260327,131390.3333,7.695833333,137883.3333
2006,12,1200,21207.2,0.386260327,131448,7.71,139400
2007,1,1200,19053.1,0.484654291,131504.75,7.7175,141200
2007,2,1364,19053.1,0.484654291,131561.5,7.725,143000
2007,3,1483,19053.1,0.484654291,131618.25,7.7325,144800
2007,4,1563,21593.86667,0.43445361,131675,7.74,146600
2007,5,1500,21593.86667,0.43445361,131731.75,7.7475,148400
2007,6,1500,21593.86667,0.43445361,131788.5,7.755,150200
2007,7,1745,23160.7,0.40972567,131845.25,7.7625,152000
2007,8,1821,23160.7,0.40972567,131902,7.77,153800
2007,9,1625,23160.7,0.40972567,131958.75,7.7775,155600
2007,10,1684,26223.1,0.400014999,132015.5,7.785,157400
2007,11,1531,26223.1,0.400014999,132072.25,7.7925,159200
2007,12,1443,26223.1,0.400014999,132129,7.8,161000
2008,1,1500,23124.53333,0.481341605,132185.0833,7.814166667,161850
2008,2,1502,23124.53333,0.481341605,132241.1667,7.828333333,162700
2008,3,1581,23124.53333,0.481341605,132297.25,7.8425,163550
2008,4,1659,26237.26667,0.427275199,132353.3333,7.856666667,164400
2008,5,1536,26237.26667,0.427275199,132409.4167,7.870833333,165250
2008,6,1417,26237.26667,0.427275199,132465.5,7.885,166100
2008,7,1718,27486.7,0.409157884,132521.5833,7.899166667,166950
2008,8,1596,27486.7,0.409157884,132577.6667,7.913333333,167800
2008,9,1641,27486.7,0.409157884,132633.75,7.9275,168650
2008,10,1834,29566.33333,0.406552498,132689.8333,7.941666667,169500
2008,11,1700,29566.33333,0.406552498,132745.9167,7.955833333,170350
2008,12,1567,29566.33333,0.406552498,132802,7.97,171200
2009,1,1748,24659.73333,0.501016502,132856,8.018333333,172783.3333
2009,2,1702,24659.73333,0.501016502,132910,8.066666667,174366.6667
2009,3,1800,24659.73333,0.501016502,132964,8.115,175950
2009,4,1883,27955.26667,0.44855233,133018,8.163333333,177533.3333
2009,5,1882,27955.26667,0.44855233,133072,8.211666667,179116.6667
2009,6,1771,27955.26667,0.44855233,133126,8.26,180700
2009,7,2103,29948.96667,0.428934109,133180,8.308333333,182283.3333
2009,8,2264,29948.96667,0.428934109,133234,8.356666667,183866.6667
2009,9,1931,29948.96667,0.428934109,133288,8.405,185450
2009,10,2171,33608.6,0.412005657,133342,8.453333333,187033.3333
2009,11,1958,33608.6,0.412005657,133396,8.501666667,188616.6667
2009,12,1875,33608.6,0.412005657,133450,8.55,190200
2010,1,1941,29167.1,0.494965218,133503.4167,8.5975,191875
2010,2,2025,29167.1,0.494965218,133556.8333,8.645,193550
2010,3,2173,29167.1,0.494965218,133610.25,8.6925,195225
2010,4,2157,33115.8,0.44428742,133663.6667,8.74,196900
2010,5,2153,33115.8,0.44428742,133717.0833,8.7875,198575
2010,6,2185,33115.8,0.44428742,133770.5,8.835,200250
2010,7,2547,35321.23333,0.428662835,133823.9167,8.8825,201925
2010,8,2600,35321.23333,0.428662835,133877.3333,8.93,203600
2010,9,2260,35321.23333,0.428662835,133930.75,8.9775,205275
2010,10,2448,39768.93333,0.41227407,133984.1667,9.025,206950
2010,11,2078,39768.93333,0.41227407,134037.5833,9.0725,208625
2010,12,2103,39768.93333,0.41227407,134091,9.12,210300
2011,1,2267,34823.3,0.494709002,134144.6667,9.136666667,214783.3333
2011,2,2163,34823.3,0.494709002,134198.3333,9.153333333,219266.6667
2011,3,2282,34823.3,0.494709002,134252,9.17,223750
2011,4,2437,39631.96667,0.444656208,134305.6667,9.186666667,228233.3333
2011,5,2407,39631.96667,0.444656208,134359.3333,9.203333333,232716.6667
2011,6,2325,39631.96667,0.444656208,134413,9.22,237200
